major_area_code,minor_bay_code,station_code,completion_dttm,start_temperature_num,start_salinity_num,start_dissolved_oxygen_num,start_turbidity_num,start_shallow_water_depth_num,start_deep_water_depth_num,y,x,elapsed_time,catch,mean_length,catch_per_hour,species_code,dt,year,trawl_id,mature_females,ovigerous,matfem_per_ha
"1","700","127",05JAN2006:12:45:00.000,"16.7","13.6","8.7","8","1.2","1.2","29.826666667","-93.92194444","0.167","0",NA,"0","9605",2006-01-05T12:45:00Z,"2006",1-127-2006-01-05,"0","0","0"
"1","700","106",18JAN2006:11:33:00.000,"12.7","12.5","8.9","28","1.5","1.5","29.856944444","-93.81055556","0.167","1","26","5.9880239521","9605",2006-01-18T11:33:00Z,"2006",1-106-2006-01-18,"0","0","0"
"1","700","119",18JAN2006:13:36:00.000,"13.3","13.6","9.2","42","1.2","1.2","29.838888889","-93.83194444","0.167","1","96","5.9880239521","9605",2006-01-18T13:36:00Z,"2006",1-119-2006-01-18,"0","0","0"
"1","700","101",05JAN2006:11:29:00.000,"16.4","12.6","7.9","27","1.5","1.5","29.858888889","-93.89111111","0.167","1","157","5.9880239521","9605",2006-01-05T11:29:00Z,"2006",1-101-2006-01-05,"0","0","0"
"1","700","107",18JAN2006:10:54:00.000,"12.2","13","9.2","13","1.5","1.5","29.857222222","-93.79611111","0.167","0",NA,"0","9605",2006-01-18T10:54:00Z,"2006",1-107-2006-01-18,"0","0","0"
"1","700","120",18JAN2006:12:21:00.000,"13","13.2","8.9","23","1.2","1.2","29.844166667","-93.81277778","0.167","0",NA,"0","9605",2006-01-18T12:21:00Z,"2006",1-120-2006-01-18,"0","0","0"
"1","700","117",22FEB2006:16:48:00.000,"12.8","9","10.3","12","2.1","2.1","29.8425","-93.85694444","0.167","0",NA,"0","9605",2006-02-22T16:48:00Z,"2006",1-117-2006-02-22,"0","0","0"
"1","700","119",22FEB2006:17:19:00.000,"12.9","8.4","10.5","15","2.1","2.1","29.843611111","-93.82472222","0.167","4","106","23.952095808","9605",2006-02-22T17:19:00Z,"2006",1-119-2006-02-22,"0","0","0"
"1","700","103",28MAR2006:09:53:00.000,"17.7","11.7","8.2","12","2.1","2.1","29.857777778","-93.85361111","0.167","0",NA,"0","9605",2006-03-28T09:53:00Z,"2006",1-103-2006-03-28,"0","0","0"
"1","700","103",01MAR2006:09:52:00.000,"16.4","10.4","8.7","13","2.1","2.1","29.855833333","-93.86138889","0.167","2","152.5","11.976047904","9605",2006-03-01T09:52:00Z,"2006",1-103-2006-03-01,"1","0","2.045090147573705"
"1","700","145",20MAR2006:12:20:00.000,"20.8","19.6","7.1","33","1.2","1.2","29.811388889","-93.87583333","0.167","0",NA,"0","9605",2006-03-20T12:20:00Z,"2006",1-145-2006-03-20,"0","0","0"
"1","700","131",28MAR2006:10:28:00.000,"17.8","16.4","6.7","13","1.8","1.8","29.827777778","-93.85777778","0.167","2","144","11.976047904","9605",2006-03-28T10:28:00Z,"2006",1-131-2006-03-28,"0","0","0"
"1","700","107",18APR2006:12:06:00.000,"24.8","9.7","6.9","13","1.8","1.8","29.858055556","-93.79527778","0.167","1","171","5.9880239521","9605",2006-04-18T12:06:00Z,"2006",1-107-2006-04-18,"0","0","0"
"1","700","113",18APR2006:09:42:00.000,"24.6","15.6","6.8","25","1.5","1.5","29.846111111","-93.92166667","0.167","2","95.5","11.976047904","9605",2006-04-18T09:42:00Z,"2006",1-113-2006-04-18,"1","0","2.045090147573705"
"1","700","118",18APR2006:12:48:00.000,"25.2","9.7","7.8","20","2.1","2.1","29.839722222","-93.84333333","0.167","0",NA,"0","9605",2006-04-18T12:48:00Z,"2006",1-118-2006-04-18,"0","0","0"
"1","700","103",17MAY2006:11:28:00.000,"23.3","7.9","7.9","6","1.8","1.8","29.8575","-93.855","0.167","0",NA,"0","9605",2006-05-17T11:28:00Z,"2006",1-103-2006-05-17,"0","0","0"
"1","700","102",21JUN2006:13:13:00.000,"27.4","10.4","7.3","12","1.8","1.8","29.857777778","-93.87583333","0.167","1","148","5.9880239521","9605",2006-06-21T13:13:00Z,"2006",1-102-2006-06-21,"1","0","2.045090147573705"
"1","700","129",21JUN2006:10:40:00.000,"27.1","10.3","7.4","16","1.8","1.8","29.826388889","-93.89555556","0.167","0",NA,"0","9605",2006-06-21T10:40:00Z,"2006",1-129-2006-06-21,"0","0","0"
"1","700","116",21JUN2006:12:33:00.000,"27.4","10.5","7.1","12","1.8","1.8","29.839722222","-93.87583333","0.167","1","151","5.9880239521","9605",2006-06-21T12:33:00Z,"2006",1-116-2006-06-21,"0","0","0"
"1","700","130",21JUN2006:11:21:00.000,"27.1","10.1","7","14","1.8","1.8","29.824166667","-93.87583333","0.167","2","142.5","11.976047904","9605",2006-06-21T11:21:00Z,"2006",1-130-2006-06-21,"1","0","2.045090147573705"
"1","700","115",07JUL2006:10:08:00.000,"27.6","7.7","6.6","39","1.8","1.8","29.841388889","-93.89222222","0.167","3","159.66666667","17.964071856","9605",2006-07-07T10:08:00Z,"2006",1-115-2006-07-07,"2","0","4.09018029514741"
"1","700","119",07JUL2006:13:19:00.000,"28.3","7","7.6","9","2.1","2.1","29.841666667","-93.825","0.167","0",NA,"0","9605",2006-07-07T13:19:00Z,"2006",1-119-2006-07-07,"0","0","0"
"1","700","127",19JUL2006:09:38:00.000,"31.4","10","5.8","16","1.5","1.5","29.827777778","-93.92388889","0.167","1","142","5.9880239521","9605",2006-07-19T09:38:00Z,"2006",1-127-2006-07-19,"1","0","2.045090147573705"
"1","700","144",19JUL2006:11:46:00.000,"31.1","5","4.5","12","1.8","1.8","29.809166667","-93.89583333","0.167","2","136","11.976047904","9605",2006-07-19T11:46:00Z,"2006",1-144-2006-07-19,"2","0","4.09018029514741"
"1","700","102",20JUL2006:10:47:00.000,"30.7","6","5.6","18","1.8","1.8","29.858055556","-93.87722222","0.167","3","148.66666667","17.964071856","9605",2006-07-20T10:47:00Z,"2006",1-102-2006-07-20,"1","0","2.045090147573705"
"1","700","102",24AUG2006:13:28:00.000,"30.5","5","5.5","14","1.8","1.8","29.858888889","-93.87361111","0.167","0",NA,"0","9605",2006-08-24T13:28:00Z,"2006",1-102-2006-08-24,"0","0","0"
"1","700","104",24AUG2006:12:50:00.000,"30.1","5","4.3","19","2.1","2.1","29.856388889","-93.84222222","0.167","0",NA,"0","9605",2006-08-24T12:50:00Z,"2006",1-104-2006-08-24,"0","0","0"
"1","700","133",24AUG2006:12:11:00.000,"30.2","6","5.2","21","1.5","1.5","29.831111111","-93.82388889","0.167","1","138","5.9880239521","9605",2006-08-24T12:11:00Z,"2006",1-133-2006-08-24,"1","0","2.045090147573705"
"1","700","103",05SEP2006:10:15:00.000,"28","7.9","7.2","22","1.8","1.8","29.855555556","-93.85972222","0.167","0",NA,"0","9605",2006-09-05T10:15:00Z,"2006",1-103-2006-09-05,"0","0","0"
"1","700","120",05SEP2006:13:33:00.000,"28","7.7","7.2","11","1.5","1.5","29.845","-93.80805556","0.167","1","116","5.9880239521","9605",2006-09-05T13:33:00Z,"2006",1-120-2006-09-05,"0","0","0"
"1","700","115",19SEP2006:09:53:00.000,"26.9","13","6","32","1.8","1.8","29.841666667","-93.89194444","0.167","0",NA,"0","9605",2006-09-19T09:53:00Z,"2006",1-115-2006-09-19,"0","0","0"
"1","700","130",19SEP2006:10:35:00.000,"27","13","5.9","33","1.8","1.8","29.825555556","-93.87694444","0.167","0",NA,"0","9605",2006-09-19T10:35:00Z,"2006",1-130-2006-09-19,"0","0","0"
"1","700","103",05OCT2006:12:07:00.000,"27.7","13.5","6.1","6","2.1","2.1","29.859166667","-93.85611111","0.167","0",NA,"0","9605",2006-10-05T12:07:00Z,"2006",1-103-2006-10-05,"0","0","0"
"1","700","132",05OCT2006:12:49:00.000,"26.8","13.1","7.1","6","1.8","1.8","29.828333333","-93.84055556","0.167","0",NA,"0","9605",2006-10-05T12:49:00Z,"2006",1-132-2006-10-05,"0","0","0"
"1","700","113",17OCT2006:12:21:00.000,"24.3","23.8","6.9","6","2.1","2.1","29.843055556","-93.92166667","0.167","0",NA,"0","9605",2006-10-17T12:21:00Z,"2006",1-113-2006-10-17,"0","0","0"
"1","700","131",17OCT2006:15:24:00.000,"24.3","24.7","7","7","2.4","2.4","29.825833333","-93.86055556","0.167","0",NA,"0","9605",2006-10-17T15:24:00Z,"2006",1-131-2006-10-17,"0","0","0"
"1","700","128",17OCT2006:12:54:00.000,"24.2","24.3","8.2","11","2.1","2.1","29.828333333","-93.91111111","0.167","1","171","5.9880239521","9605",2006-10-17T12:54:00Z,"2006",1-128-2006-10-17,"1","0","2.045090147573705"
"1","700","145",20NOV2006:12:40:00.000,"13.7","2.9","11.9","76","1.2","1.2","29.813333333","-93.87777778","0.167","1","24","5.9880239521","9605",2006-11-20T12:40:00Z,"2006",1-145-2006-11-20,"0","0","0"
"1","700","114",20NOV2006:11:09:00.000,"14.7","3.5","11.5","61","1.2","1.2","29.843611111","-93.91111111","0.167","0",NA,"0","9605",2006-11-20T11:09:00Z,"2006",1-114-2006-11-20,"0","0","0"
"1","700","106",07NOV2006:13:52:00.000,"18.8","1","10.1","18","1.8","1.8","29.86","-93.80555556","0.167","0",NA,"0","9605",2006-11-07T13:52:00Z,"2006",1-106-2006-11-07,"0","0","0"
"1","700","121",07NOV2006:13:21:00.000,"18.8","1.1","10","23","1.5","1.5","29.8475","-93.79833333","0.167","5","157.2","29.94011976","9605",2006-11-07T13:21:00Z,"2006",1-121-2006-11-07,"4","0","8.18036059029482"
"1","700","102",20NOV2006:11:54:00.000,"15.1","5.5","11.2","47","1.5","1.5","29.858333333","-93.87583333","0.167","0",NA,"0","9605",2006-11-20T11:54:00Z,"2006",1-102-2006-11-20,"0","0","0"
"1","700","107",18DEC2006:11:57:00.000,"15.8","12.6","8.2","6","1.5","1.5","29.858888889","-93.79166667","0.167","2","143.5","11.976047904","9605",2006-12-18T11:57:00Z,"2006",1-107-2006-12-18,"1","0","2.045090147573705"
"1","700","131",25JAN2007:11:10:00.000,"9.1","3.3","9.4","27","1.8","1.8","29.824722222","-93.86","0.167","0",NA,"0","9605",2007-01-25T11:10:00Z,"2007",1-131-2007-01-25,"0","0","0"
"1","700","133",25JAN2007:10:34:00.000,"8.7","2.9","9.3","28","1.5","1.5","29.828888889","-93.82305556","0.167","0",NA,"0","9605",2007-01-25T10:34:00Z,"2007",1-133-2007-01-25,"0","0","0"
"1","700","143",25JAN2007:12:33:00.000,"9.3","3.1","9.4","19","2.1","2.1","29.8075","-93.90888889","0.167","0",NA,"0","9605",2007-01-25T12:33:00Z,"2007",1-143-2007-01-25,"0","0","0"
"1","700","144",20FEB2007:11:15:00.000,"12.5","1","10.3","51","1.8","1.8","29.806666667","-93.89527778","0.167","1","28","5.9880239521","9605",2007-02-20T11:15:00Z,"2007",1-144-2007-02-20,"0","0","0"
"1","700","103",07FEB2007:09:24:00.000,"10.9","0","9.9","28","2.1","2.1","29.859444444","-93.85722222","0.167","0",NA,"0","9605",2007-02-07T09:24:00Z,"2007",1-103-2007-02-07,"0","0","0"
"1","700","117",20FEB2007:09:31:00.000,"11.9","0","10.3","48","2.1","2.1","29.838055556","-93.85972222","0.167","0",NA,"0","9605",2007-02-20T09:31:00Z,"2007",1-117-2007-02-20,"0","0","0"
"1","700","121",20FEB2007:10:16:00.000,"12.5","1","10.4","31","1.5","1.5","29.847222222","-93.79527778","0.167","0",NA,"0","9605",2007-02-20T10:16:00Z,"2007",1-121-2007-02-20,"0","0","0"
"1","700","116",06MAR2007:14:42:00.000,"15.1","1.1","8.5","38","1.5","1.5","29.841944444","-93.88027778","0.167","0",NA,"0","9605",2007-03-06T14:42:00Z,"2007",1-116-2007-03-06,"0","0","0"
"1","700","134",06MAR2007:13:59:00.000,"16.9","0.7","9.3","48","0.9","0.9","29.831666667","-93.80805556","0.167","0",NA,"0","9605",2007-03-06T13:59:00Z,"2007",1-134-2007-03-06,"0","0","0"
"1","700","129",19MAR2007:10:11:00.000,"19.2","3.1","8.5","24","1.8","1.8","29.823611111","-93.89111111","0.167","0",NA,"0","9605",2007-03-19T10:11:00Z,"2007",1-129-2007-03-19,"0","0","0"
"1","700","130",19MAR2007:10:43:00.000,"19.3","2.2","8.2","25","1.8","1.8","29.824722222","-93.87638889","0.167","0",NA,"0","9605",2007-03-19T10:43:00Z,"2007",1-130-2007-03-19,"0","0","0"
"1","700","142",19MAR2007:12:29:00.000,"19.4","3.8","8.6","34","1.8","1.8","29.809722222","-93.92444444","0.167","0",NA,"0","9605",2007-03-19T12:29:00Z,"2007",1-142-2007-03-19,"0","0","0"
"1","700","106",16APR2007:16:36:00.000,"18.6","2.9","9.7","34","2.1","2.1","29.855","-93.80527778","0.167","0",NA,"0","9605",2007-04-16T16:36:00Z,"2007",1-106-2007-04-16,"0","0","0"
"1","700","133",16APR2007:15:38:00.000,"18.3","2.4","9.9","53","1.5","1.5","29.829722222","-93.82388889","0.167","1","168","5.9880239521","9605",2007-04-16T15:38:00Z,"2007",1-133-2007-04-16,"0","0","0"
"1","700","145",16APR2007:14:59:00.000,"18.2","5","8.8","39","1.5","1.5","29.813888889","-93.87305556","0.167","0",NA,"0","9605",2007-04-16T14:59:00Z,"2007",1-145-2007-04-16,"0","0","0"
"1","700","115",27APR2007:09:06:00.000,"22","8.5","5.2","33","1.8","1.8","29.846388889","-93.89611111","0.167","1","174","5.9880239521","9605",2007-04-27T09:06:00Z,"2007",1-115-2007-04-27,"1","0","2.045090147573705"
"1","700","106",02MAY2007:12:47:00.000,"24.8","5.2","6.6","8","2.4","2.4","29.8575","-93.80611111","0.167","0",NA,"0","9605",2007-05-02T12:47:00Z,"2007",1-106-2007-05-02,"0","0","0"
"1","700","120",02MAY2007:13:26:00.000,"24.5","5.5","6.6","15","1.8","1.8","29.838888889","-93.8075","0.167","0",NA,"0","9605",2007-05-02T13:26:00Z,"2007",1-120-2007-05-02,"0","0","0"
"1","700","132",21MAY2007:11:15:00.000,"24.7","6.5","7","14","1.8","1.8","29.827222222","-93.84027778","0.167","0",NA,"0","9605",2007-05-21T11:15:00Z,"2007",1-132-2007-05-21,"0","0","0"
"1","700","107",13JUN2007:14:32:00.000,"30.2","6","6.6","8","2.1","2.1","29.859166667","-93.79111111","0.167","0",NA,"0","9605",2007-06-13T14:32:00Z,"2007",1-107-2007-06-13,"0","0","0"
"1","700","102",26JUN2007:12:57:00.000,"28.2","6.6","7.2","18","2.1","2.1","29.859722222","-93.87416667","0.167","0",NA,"0","9605",2007-06-26T12:57:00Z,"2007",1-102-2007-06-26,"0","0","0"
"1","700","128",26JUN2007:11:48:00.000,"29.1","12.4","6.5","15","1.8","1.8","29.824444444","-93.91166667","0.167","1","106","5.9880239521","9605",2007-06-26T11:48:00Z,"2007",1-128-2007-06-26,"0","0","0"
"1","700","132",26JUN2007:13:58:00.000,"28.6","5.7","6.9","23","1.8","1.8","29.821666667","-93.84861111","0.167","0",NA,"0","9605",2007-06-26T13:58:00Z,"2007",1-132-2007-06-26,"0","0","0"
"1","700","133",26JUN2007:14:39:00.000,"29.1","5.8","6.9","16","1.5","1.5","29.83","-93.82361111","0.167","0",NA,"0","9605",2007-06-26T14:39:00Z,"2007",1-133-2007-06-26,"0","0","0"
"1","700","104",10JUL2007:10:29:00.000,"28.7","4","7","14","2.4","2.4","29.857222222","-93.84166667","0.167","0",NA,"0","9605",2007-07-10T10:29:00Z,"2007",1-104-2007-07-10,"0","0","0"
"1","700","121",10JUL2007:12:16:00.000,"29.3","3.1","6.1","14","1.8","1.8","29.846666667","-93.79694444","0.167","0",NA,"0","9605",2007-07-10T12:16:00Z,"2007",1-121-2007-07-10,"0","0","0"
"1","700","131",10JUL2007:13:21:00.000,"29.1","4.4","7.1","9","1.8","1.8","29.821944444","-93.85916667","0.167","0",NA,"0","9605",2007-07-10T13:21:00Z,"2007",1-131-2007-07-10,"0","0","0"
"1","700","142",17JUL2007:08:28:00.000,"28","3","6.2","43","1.8","1.8","29.810555556","-93.92611111","0.167","0",NA,"0","9605",2007-07-17T08:28:00Z,"2007",1-142-2007-07-17,"0","0","0"
"1","700","143",17JUL2007:09:28:00.000,"28.7","5.9","5.2","45","2.1","2.1","29.813055556","-93.91027778","0.167","0",NA,"0","9605",2007-07-17T09:28:00Z,"2007",1-143-2007-07-17,"0","0","0"
"1","700","145",17JUL2007:11:23:00.000,"28.5","1.5","6","34","1.8","1.8","29.814166667","-93.875","0.167","1","27","5.9880239521","9605",2007-07-17T11:23:00Z,"2007",1-145-2007-07-17,"0","0","0"
"1","700","128",19SEP2007:15:21:00.000,"28.9","2.9","7.7","33","1.8","1.8","29.823333333","-93.90666667","0.167","1","105","5.9880239521","9605",2007-09-19T15:21:00Z,"2007",1-128-2007-09-19,"0","0","0"
"1","700","129",19SEP2007:14:46:00.000,"28.6","4.4","7","23","1.8","1.8","29.824166667","-93.88833333","0.167","0",NA,"0","9605",2007-09-19T14:46:00Z,"2007",1-129-2007-09-19,"0","0","0"
"1","700","142",19SEP2007:12:16:00.000,"27.9","10","6.9","14","2.1","2.1","29.811388889","-93.92027778","0.167","0",NA,"0","9605",2007-09-19T12:16:00Z,"2007",1-142-2007-09-19,"0","0","0"
"1","700","104",29AUG2007:12:04:00.000,"29.2","4.1","5.1","17","1.8","1.8","29.857777778","-93.84055556","0.167","0",NA,"0","9605",2007-08-29T12:04:00Z,"2007",1-104-2007-08-29,"0","0","0"
