pass-name,latitude,longitude,major_minor,area_ha
Sabine Pass,"29.686244","-93.835948",major,8129.536
Pass Cavallo,"28.382088","-96.381467",major,36223.799
Matagorda Ship Channel,"28.423409","-96.324707",major,45385.954
Caney Creek,"28.751157","-95.656836",major,6709.059
Aransas,"27.83699","-97.045403",major,30532.164
Brazos Santiago,"26.065627","-97.153252",major,20017.961
Port Mansfield,"26.563274","-97.273899",major,23253.674
San Luis Pass,"29.078354","-95.119909",major,14456.389
Bolivar Roads,"29.348041","-94.730885",major,38287.777
Rollover Pass,"29.506859","-94.499584",major,12347.979
