major_area_code,minor_bay_code,station_code,completion_dttm,start_temperature_num,start_salinity_num,start_dissolved_oxygen_num,start_turbidity_num,start_shallow_water_depth_num,start_deep_water_depth_num,y,x,elapsed_time,catch,mean_length,catch_per_hour,species_code
1,700,79,05JAN2006:10:13:00.000,16.3,12.8,8.5,17,1.5,1.5,29.887777778,-93.845,0.167000,3,157.33333333,17.964071856,9605
1,700,90,05JAN2006:10:40:00.000,16.6,13.5,7.7,23,1.8,1.8,29.876666667,-93.83944444,0.167000,0,,0,9605
1,700,127,05JAN2006:12:45:00.000,16.7,13.6,8.7,8,1.2,1.2,29.826666667,-93.92194444,0.167000,0,,0,9605
1,700,106,18JAN2006:11:33:00.000,12.7,12.5,8.9,28,1.5,1.5,29.856944444,-93.81055556,0.167000,1,26,5.9880239521,9605
1,700,119,18JAN2006:13:36:00.000,13.3,13.6,9.2,42,1.2,1.2,29.838888889,-93.83194444,0.167000,1,96,5.9880239521,9605
1,700,86,05JAN2006:12:10:00.000,16.9,12.8,9.1,10,0.9,0.9,29.875277778,-93.90388889,0.167000,0,,0,9605
1,700,101,05JAN2006:11:29:00.000,16.4,12.6,7.9,27,1.5,1.5,29.858888889,-93.89111111,0.167000,1,157,5.9880239521,9605
1,700,71,18JAN2006:10:02:00.000,12.4,12.9,8.7,24,1.8,1.8,29.909166667,-93.7925,0.167000,1,14,5.9880239521,9605
1,700,107,18JAN2006:10:54:00.000,12.2,13.0,9.2,13,1.5,1.5,29.857222222,-93.79611111,0.167000,0,,0,9605
1,700,120,18JAN2006:12:21:00.000,13.0,13.2,8.9,23,1.2,1.2,29.844166667,-93.81277778,0.167000,0,,0,9605
1,700,41,01FEB2006:12:03:00.000,16.2,14.8,9.3,13,0.9,0.9,29.954722222,-93.84138889,0.167000,1,158,5.9880239521,9605
1,700,44,01FEB2006:12:40:00.000,16.4,14.9,9.3,13,1.8,1.8,29.954722222,-93.79083333,0.167000,0,,0,9605
1,700,52,01FEB2006:12:59:00.000,16.1,14.7,9.5,8,2.1,2.1,29.939722222,-93.79166667,0.167000,1,162,5.9880239521,9605
1,700,60,01FEB2006:13:43:00.000,16.1,15.6,10.3,6,2.1,2.1,29.924722222,-93.81361111,0.167000,1,181,5.9880239521,9605
1,700,72,01FEB2006:14:29:00.000,16.5,14.3,9.3,12,1.8,1.8,29.906666667,-93.77527778,0.167000,2,79,11.976047904,9605
1,700,68,22FEB2006:12:44:00.000,13.0,10.4,5.9,6,2.1,2.1,29.909722222,-93.84111111,0.167000,0,,0,9605
1,700,69,22FEB2006:14:26:00.000,12.5,12.0,8.8,6,2.4,2.4,29.908333333,-93.825,0.167000,0,,0,9605
1,700,77,22FEB2006:15:48:00.000,13.1,9.1,10.2,6,1.8,1.8,29.891666667,-93.87722222,0.167000,3,175,17.964071856,9605
