major_area_code,completion_dttm,station_code,species_code,number_sampled_num,length_num,sex_code,maturity_stage_code
5,03JAN2006:09:34:00.000,222,9605,1,21,,
5,03JAN2006:11:28:00.000,153,9605,1,21,,
5,03JAN2006:11:28:00.000,153,9605,1,20,,
8,03JAN2006:12:58:00.000,61,9605,1,35,,
5,03JAN2006:13:31:00.000,79,9605,1,51,,
5,03JAN2006:13:31:00.000,79,9605,1,32,,
5,03JAN2006:14:35:00.000,122,9605,1,34,,
5,03JAN2006:14:35:00.000,122,9605,1,37,,
5,03JAN2006:15:10:00.000,93,9605,1,35,1,
5,03JAN2006:15:10:00.000,93,9605,1,47,1,
5,03JAN2006:15:10:00.000,93,9605,1,171,2,
5,03JAN2006:15:51:00.000,46,9605,1,34,1,
5,03JAN2006:15:51:00.000,46,9605,1,35,1,
5,03JAN2006:15:51:00.000,46,9605,1,48,1,
1,05JAN2006:10:13:00.000,79,9605,1,153,1,
1,05JAN2006:10:13:00.000,79,9605,1,162,2,
1,05JAN2006:10:13:00.000,79,9605,1,157,2,
1,05JAN2006:11:29:00.000,101,9605,1,157,2,
2,06JAN2006:11:27:00.000,182,9605,1,142,2,2
2,06JAN2006:11:27:00.000,182,9605,1,168,1,
2,06JAN2006:11:27:00.000,182,9605,1,175,1,
2,06JAN2006:13:09:00.000,120,9605,1,158,2,2
2,06JAN2006:13:09:00.000,120,9605,1,42,1,
2,06JAN2006:13:09:00.000,120,9605,1,27,1,
2,06JAN2006:13:09:00.000,120,9605,1,24,1,
2,06JAN2006:13:09:00.000,120,9605,1,35,2,1
2,06JAN2006:14:07:00.000,140,9605,1,51,1,
4,09JAN2006:10:24:00.000,46,9605,1,48,2,1
4,09JAN2006:10:24:00.000,46,9605,1,56,2,1
4,09JAN2006:12:00:00.000,40,9605,1,34,2,1
4,09JAN2006:12:00:00.000,40,9605,1,11,0,
4,09JAN2006:12:37:00.000,178,9605,1,40,2,1
4,09JAN2006:12:37:00.000,178,9605,1,28,1,
3,11JAN2006:12:36:00.000,248,9605,1,10,,
7,11JAN2006:14:29:00.000,96,9605,1,23,,
6,18JAN2006:09:33:00.000,83,9605,1,151,2,2
6,18JAN2006:09:33:00.000,83,9605,1,65,1,
1,18JAN2006:10:02:00.000,71,9605,1,14,2,1
1,18JAN2006:11:33:00.000,106,9605,1,26,2,1
6,18JAN2006:12:02:00.000,203,9605,1,32,2,1
6,18JAN2006:13:13:00.000,174,9605,1,47,1,
1,18JAN2006:13:36:00.000,119,9605,1,96,2,1
6,18JAN2006:13:40:00.000,153,9605,1,32,2,1
5,24JAN2006:08:49:00.000,315,9605,1,42,1,
3,24JAN2006:10:21:00.000,371,9605,1,34,1,
9,24JAN2006:10:36:00.000,74,9605,1,43,1,
9,24JAN2006:10:36:00.000,74,9605,1,172,2,2
5,24JAN2006:10:39:00.000,300,9605,1,114,1,
3,24JAN2006:11:02:00.000,304,9605,1,20,1,
8,24JAN2006:12:14:00.000,302,9605,1,146,2,2
8,24JAN2006:12:14:00.000,302,9605,1,140,1,
2,24JAN2006:12:19:00.000,214,9605,1,31,1,
5,24JAN2006:14:40:00.000,137,9605,1,58,2,
5,24JAN2006:14:40:00.000,137,9605,1,39,1,
17,24JAN2006:14:42:00.000,3674,9605,1,23,1,
17,24JAN2006:16:54:00.000,3700,9605,1,22,2,1
2,25JAN2006:11:03:00.000,417,9605,1,51,,
4,25JAN2006:11:55:00.000,249,9605,1,32,1,
2,25JAN2006:12:39:00.000,453,9605,1,133,2,1
4,01FEB2006:11:23:00.000,97,9605,1,21,2,1
1,01FEB2006:12:03:00.000,41,9605,1,158,2,2
1,01FEB2006:12:59:00.000,52,9605,1,162,1,
1,01FEB2006:13:43:00.000,60,9605,1,181,2,2
1,01FEB2006:14:29:00.000,72,9605,1,37,1,
1,01FEB2006:14:29:00.000,72,9605,1,121,,
5,02FEB2006:07:32:00.000,222,9605,1,46,,
5,02FEB2006:07:58:00.000,199,9605,1,31,,
5,02FEB2006:07:58:00.000,199,9605,1,37,,
2,02FEB2006:10:21:00.000,121,9605,1,52,,
2,02FEB2006:10:21:00.000,121,9605,1,51,,
2,02FEB2006:10:21:00.000,121,9605,1,48,,
7,02FEB2006:10:59:00.000,81,9605,1,21,1,
5,02FEB2006:13:21:00.000,162,9605,1,48,2,
5,02FEB2006:14:04:00.000,189,9605,1,177,2,
4,07FEB2006:09:30:00.000,46,9605,1,125,1,
4,07FEB2006:09:30:00.000,46,9605,1,113,2,1
4,07FEB2006:09:30:00.000,46,9605,1,89,2,1
4,07FEB2006:09:30:00.000,46,9605,1,142,1,
4,07FEB2006:09:30:00.000,46,9605,1,123,2,1
4,07FEB2006:09:30:00.000,46,9605,1,89,1,
4,07FEB2006:09:30:00.000,46,9605,1,76,1,
4,07FEB2006:09:30:00.000,46,9605,1,82,1,
4,07FEB2006:09:30:00.000,46,9605,1,76,2,1
4,07FEB2006:09:30:00.000,46,9605,1,80,2,1
4,07FEB2006:09:30:00.000,46,9605,1,56,1,
4,07FEB2006:09:30:00.000,46,9605,1,52,2,1
4,07FEB2006:09:30:00.000,46,9605,1,36,1,
4,07FEB2006:09:30:00.000,46,9605,1,42,2,1
4,07FEB2006:10:26:00.000,191,9605,1,41,1,
4,07FEB2006:10:47:00.000,32,9605,1,41,1,
4,07FEB2006:10:47:00.000,32,9605,1,76,2,1
8,07FEB2006:11:05:00.000,270,9605,1,66,1,
4,07FEB2006:11:25:00.000,138,9605,1,29,2,1
8,07FEB2006:11:31:00.000,277,9605,1,53,1,
8,07FEB2006:12:15:00.000,320,9605,1,40,2,1
8,07FEB2006:12:15:00.000,320,9605,1,31,2,1
8,07FEB2006:12:15:00.000,320,9605,1,56,2,1
8,07FEB2006:12:15:00.000,320,9605,1,47,2,1
8,07FEB2006:12:15:00.000,320,9605,1,52,2,1
8,07FEB2006:12:15:00.000,320,9605,1,54,2,1
8,07FEB2006:12:15:00.000,320,9605,1,168,2,2
8,07FEB2006:12:15:00.000,320,9605,1,149,2,2
8,07FEB2006:12:38:00.000,330,9605,1,108,2,2
8,07FEB2006:13:10:00.000,321,9605,1,95,2,1
2,08FEB2006:11:18:00.000,416,9605,1,192,2,2
4,16FEB2006:10:05:00.000,212,9605,1,43,2,1
4,16FEB2006:10:05:00.000,212,9605,1,36,1,
4,16FEB2006:10:05:00.000,212,9605,1,12,1,
5,21FEB2006:08:43:00.000,315,9605,1,85,1,
5,21FEB2006:09:31:00.000,299,9605,1,175,2,2
5,21FEB2006:09:31:00.000,299,9605,1,120,1,
3,21FEB2006:10:44:00.000,92,9605,1,29,1,
2,21FEB2006:12:13:00.000,113,9605,1,60,,
9,22FEB2006:09:55:00.000,46,9605,1,143,1,
9,22FEB2006:10:19:00.000,48,9605,1,147,2,2
4,22FEB2006:11:36:00.000,105,9605,1,151,2,3
4,22FEB2006:11:36:00.000,105,9605,1,149,2,2
4,22FEB2006:11:36:00.000,105,9605,1,41,1,
4,22FEB2006:11:36:00.000,105,9605,1,30,1,
4,22FEB2006:11:36:00.000,105,9605,1,52,1,
4,22FEB2006:11:36:00.000,105,9605,1,51,1,
9,22FEB2006:11:44:00.000,52,9605,1,109,2,1
9,22FEB2006:11:44:00.000,52,9605,1,153,2,2
9,22FEB2006:11:44:00.000,52,9605,1,183,1,
4,22FEB2006:13:10:00.000,120,9605,1,181,2,2
4,22FEB2006:13:10:00.000,120,9605,1,78,1,
5,22FEB2006:13:27:00.000,50,9605,1,56,1,
5,22FEB2006:13:56:00.000,34,9605,1,35,,
8,22FEB2006:14:11:00.000,138,9605,1,154,2,1
8,22FEB2006:14:11:00.000,138,9605,1,166,2,1
1,22FEB2006:15:48:00.000,77,9605,1,189,2,2
1,22FEB2006:15:48:00.000,77,9605,1,175,1,
1,22FEB2006:15:48:00.000,77,9605,1,161,2,2
1,22FEB2006:17:19:00.000,119,9605,1,33,2,1
1,22FEB2006:17:19:00.000,119,9605,1,108,2,1
1,22FEB2006:17:19:00.000,119,9605,1,131,1,
1,22FEB2006:17:19:00.000,119,9605,1,152,1,
6,23FEB2006:08:50:00.000,85,9605,1,34,2,1
6,23FEB2006:08:50:00.000,85,9605,1,42,2,1
6,23FEB2006:09:28:00.000,83,9605,1,33,2,1
6,23FEB2006:11:14:00.000,191,9605,1,38,2,1
5,24FEB2006:09:32:00.000,174,9605,1,33,,
5,24FEB2006:09:32:00.000,174,9605,1,55,1,
7,24FEB2006:10:21:00.000,47,9605,1,30,,
3,27FEB2006:11:03:00.000,428,9605,1,52,1,
4,01MAR2006:09:40:00.000,282,9605,1,38,2,1
1,01MAR2006:09:52:00.000,103,9605,1,162,1,
1,01MAR2006:09:52:00.000,103,9605,1,143,2,2
4,01MAR2006:10:14:00.000,112,9605,1,21,1,
1,01MAR2006:10:25:00.000,89,9605,1,163,2,2
1,01MAR2006:10:25:00.000,89,9605,1,159,1,
1,01MAR2006:10:25:00.000,89,9605,1,192,2,2
1,01MAR2006:10:25:00.000,89,9605,1,152,2,2
1,01MAR2006:11:34:00.000,36,9605,1,117,1,
1,01MAR2006:11:34:00.000,36,9605,1,158,1,
1,01MAR2006:11:34:00.000,36,9605,1,151,1,
1,01MAR2006:11:34:00.000,36,9605,1,131,2,1
1,01MAR2006:12:35:00.000,94,9605,1,18,2,1
1,01MAR2006:13:17:00.000,133,9605,1,154,1,
1,01MAR2006:13:17:00.000,133,9605,1,136,1,
4,01MAR2006:13:53:00.000,189,9605,1,15,1,
4,01MAR2006:13:53:00.000,189,9605,1,34,2,1
4,01MAR2006:13:53:00.000,189,9605,1,19,1,
4,02MAR2006:10:07:00.000,47,9605,1,10,2,1
4,02MAR2006:11:13:00.000,64,9605,1,12,1,
3,02MAR2006:11:37:00.000,227,9605,1,48,1,
3,02MAR2006:13:02:00.000,350,9605,1,46,2,1
5,06MAR2006:09:06:00.000,77,9605,1,43,1,
5,06MAR2006:09:33:00.000,105,9605,1,54,1,
5,06MAR2006:09:33:00.000,105,9605,1,31,2,
5,06MAR2006:10:00:00.000,132,9605,1,45,2,
5,06MAR2006:10:00:00.000,132,9605,1,49,2,
5,06MAR2006:10:00:00.000,132,9605,1,45,2,
5,06MAR2006:10:00:00.000,132,9605,1,17,2,
5,06MAR2006:10:00:00.000,132,9605,1,79,1,
5,06MAR2006:10:23:00.000,131,9605,1,150,,
5,06MAR2006:11:27:00.000,150,9605,1,67,2,
5,06MAR2006:11:27:00.000,150,9605,1,25,2,
5,06MAR2006:11:27:00.000,150,9605,1,51,1,
5,06MAR2006:11:27:00.000,150,9605,1,34,2,
7,06MAR2006:11:38:00.000,95,9605,1,36,,
17,06MAR2006:12:54:00.000,27,9605,1,36,2,1
3,06MAR2006:12:55:00.000,88,9605,1,186,,
4,06MAR2006:13:40:00.000,11,9605,1,24,2,1
5,06MAR2006:14:04:00.000,140,9605,1,40,2,
5,06MAR2006:14:04:00.000,140,9605,1,33,1,
5,06MAR2006:14:04:00.000,140,9605,1,106,1,
5,06MAR2006:14:26:00.000,113,9605,1,21,1,
5,06MAR2006:14:26:00.000,113,9605,1,97,1,
4,07MAR2006:10:40:00.000,42,9605,1,57,1,
8,07MAR2006:10:55:00.000,278,9605,1,52,1,
8,07MAR2006:10:55:00.000,278,9605,1,59,1,
8,07MAR2006:10:55:00.000,278,9605,1,101,1,
4,07MAR2006:11:07:00.000,40,9605,1,118,1,
4,07MAR2006:11:07:00.000,40,9605,1,56,2,1
2,07MAR2006:13:46:00.000,292,9605,1,163,2,3
2,07MAR2006:13:46:00.000,292,9605,1,171,2,2
3,13MAR2006:11:21:00.000,412,9605,1,109,1,
9,13MAR2006:14:18:00.000,47,9605,1,142,2,3
9,13MAR2006:14:46:00.000,62,9605,1,161,2,3
9,13MAR2006:15:18:00.000,46,9605,1,181,2,3
2,14MAR2006:11:36:00.000,345,9605,1,181,1,
2,14MAR2006:11:36:00.000,345,9605,1,61,2,1
2,14MAR2006:11:57:00.000,280,9605,1,173,2,3
2,14MAR2006:11:57:00.000,280,9605,1,114,2,1
