major_area_code,completion_dttm,station_code,species_code,number_sampled_num,length_num,sex_code,maturity_stage_code,dt,year,trawl_id,mature_female
5,03JAN2006:09:34:00.000,222,9605,1,21,NA,NA,2006-01-03T09:34:00Z,2006,5-222-2006-01-03,NA
5,03JAN2006:11:28:00.000,153,9605,1,21,NA,NA,2006-01-03T11:28:00Z,2006,5-153-2006-01-03,NA
5,03JAN2006:11:28:00.000,153,9605,1,20,NA,NA,2006-01-03T11:28:00Z,2006,5-153-2006-01-03,NA
8,03JAN2006:12:58:00.000,61,9605,1,35,NA,NA,2006-01-03T12:58:00Z,2006,8-61-2006-01-03,NA
5,03JAN2006:13:31:00.000,79,9605,1,51,NA,NA,2006-01-03T13:31:00Z,2006,5-79-2006-01-03,NA
5,03JAN2006:13:31:00.000,79,9605,1,32,NA,NA,2006-01-03T13:31:00Z,2006,5-79-2006-01-03,NA
5,03JAN2006:14:35:00.000,122,9605,1,34,NA,NA,2006-01-03T14:35:00Z,2006,5-122-2006-01-03,NA
5,03JAN2006:14:35:00.000,122,9605,1,37,NA,NA,2006-01-03T14:35:00Z,2006,5-122-2006-01-03,NA
5,03JAN2006:15:10:00.000,93,9605,1,35,1,NA,2006-01-03T15:10:00Z,2006,5-93-2006-01-03,NA
5,03JAN2006:15:10:00.000,93,9605,1,47,1,NA,2006-01-03T15:10:00Z,2006,5-93-2006-01-03,NA
5,03JAN2006:15:10:00.000,93,9605,1,171,2,NA,2006-01-03T15:10:00Z,2006,5-93-2006-01-03,NA
5,03JAN2006:15:51:00.000,46,9605,1,34,1,NA,2006-01-03T15:51:00Z,2006,5-46-2006-01-03,NA
5,03JAN2006:15:51:00.000,46,9605,1,35,1,NA,2006-01-03T15:51:00Z,2006,5-46-2006-01-03,NA
5,03JAN2006:15:51:00.000,46,9605,1,48,1,NA,2006-01-03T15:51:00Z,2006,5-46-2006-01-03,NA
1,05JAN2006:10:13:00.000,79,9605,1,153,1,NA,2006-01-05T10:13:00Z,2006,1-79-2006-01-05,NA
1,05JAN2006:10:13:00.000,79,9605,1,162,2,NA,2006-01-05T10:13:00Z,2006,1-79-2006-01-05,NA
1,05JAN2006:10:13:00.000,79,9605,1,157,2,NA,2006-01-05T10:13:00Z,2006,1-79-2006-01-05,NA
1,05JAN2006:11:29:00.000,101,9605,1,157,2,NA,2006-01-05T11:29:00Z,2006,1-101-2006-01-05,NA
2,06JAN2006:11:27:00.000,182,9605,1,142,2,2,2006-01-06T11:27:00Z,2006,2-182-2006-01-06,Y
2,06JAN2006:11:27:00.000,182,9605,1,168,1,NA,2006-01-06T11:27:00Z,2006,2-182-2006-01-06,NA
2,06JAN2006:11:27:00.000,182,9605,1,175,1,NA,2006-01-06T11:27:00Z,2006,2-182-2006-01-06,NA
2,06JAN2006:13:09:00.000,120,9605,1,158,2,2,2006-01-06T13:09:00Z,2006,2-120-2006-01-06,Y
2,06JAN2006:13:09:00.000,120,9605,1,42,1,NA,2006-01-06T13:09:00Z,2006,2-120-2006-01-06,NA
2,06JAN2006:13:09:00.000,120,9605,1,27,1,NA,2006-01-06T13:09:00Z,2006,2-120-2006-01-06,NA
2,06JAN2006:13:09:00.000,120,9605,1,24,1,NA,2006-01-06T13:09:00Z,2006,2-120-2006-01-06,NA
