pass-name,latitude,longitude,major-minor
Brazos Santiago,26.065627,-97.153252,major
Port Mansfield,26.563274,-97.273899,major
Packery Channel,27.614447,-97.201427,minor
Aransas,27.83699,-97.045403,major
Cedar Bayou,28.063307,-96.850409,minor
Pass Cavallo,28.382088,-96.381467,major
Matagorda Ship Channel,28.423409,-96.324707,major
Colorado River,28.59242,-95.982997,minor
Caney Creek,28.751157,-95.656836,major
Cedar Lakes,28.818047,-95.521068,minor
San Bernard River,28.851683,-95.440742,minor
Brazos River,28.877838,-95.380118,minor
Freeport Harbor Channel,28.935943,-95.296485,minor
San Luis Pass,29.078354,-95.119909,major
Bolivar Roads,29.348041,-94.730885,major
Rollover Pass,29.506859,-94.499584,major
Sabine Pass,29.686244,-93.835948,major
